dataset_key,city,original_column_name,inferred_dtype,non_null_ratio_est,sample_values,has_metadata_description,metadata_description,flag_ambiguous_or_abbrev
chicago,Chicago,Unnamed: 0,int64,1.0,3 | 89 | 197 | 673 | 911 | 1108 | 1130 | 1801 | 1868 | 1891 | 1935 | 2150 | 2193 | 2279 | 2477 | 2847 | 3023 | 3088 | 3242 | 3264,False,,True
chicago,Chicago,ID,int64,1.0,10508693 | 10508695 | 10508697 | 10508698 | 10508699 | 10508702 | 10508703 | 10508704 | 10508709 | 10508982 | 10508710 | 10508715 | 10508717 | 10508724 | 10508728 | 10508732 | 10508738 | 10508741 | 10508747 | 10508752,False,,True
chicago,Chicago,Case Number,object,1.0,HZ250496 | HZ250409 | HZ250503 | HZ250424 | HZ250455 | HZ250447 | HZ250489 | HZ250514 | HZ250523 | HZ250667 | HZ250469 | HZ250541 | HZ250415 | HZ250513 | HZ250505 | HZ250535 | HZ250440 | HZ250587 | HZ250577 | HZ250500,False,,False
chicago,Chicago,Date,object,1.0,05/03/2016 11:40:00 PM | 05/03/2016 09:40:00 PM | 05/03/2016 11:31:00 PM | 05/03/2016 10:10:00 PM | 05/03/2016 10:00:00 PM | 05/03/2016 10:35:00 PM | 05/03/2016 10:30:00 PM | 05/03/2016 09:30:00 PM | 05/03/2016 04:00:00 PM | 05/03/2016 09:44:00 PM | 05/03/2016 11:11:00 PM | 05/03/2016 05:30:00 PM | 05/03/2016 09:00:00 AM | 05/03/2016 10:08:00 PM | 05/03/2016 09:45:00 PM | 05/03/2016 08:00:00 PM | 05/03/2016 11:00:00 PM | 05/03/2016 11:37:00 PM | 05/03/2016 01:30:00 PM | 05/03/2016 06:30:00 PM,False,,False
chicago,Chicago,Block,object,1.0,013XX S SAWYER AVE | 061XX S DREXEL AVE | 053XX W CHICAGO AVE | 049XX W FULTON ST | 003XX N LOTUS AVE | 082XX S MARYLAND AVE | 027XX S STATE ST | 002XX E 46TH ST | 014XX W DEVON AVE | 069XX S ASHLAND AVE | 074XX S SOUTH SHORE DR | 006XX N WABASH AVE | 011XX W JACKSON BLVD | 028XX S DR MARTIN LUTHER KING JR DR | 016XX N CLAREMONT AVE | 072XX S RICHMOND ST | 020XX W LE MOYNE ST | 055XX S STATE ST | 100XX S SANGAMON ST | 043XX S ELLIS AVE,False,,False
chicago,Chicago,IUCR,object,1.0,0486 | 0470 | 0460 | 0820 | 041A | 143A | 0890 | 0810 | 0313 | 0910 | 0560 | 5002 | 1130 | 1153 | 1305 | 1310 | 2825 | 1477 | 2820 | 1152,False,,True
chicago,Chicago,Primary Type,object,1.0,BATTERY | PUBLIC PEACE VIOLATION | THEFT | WEAPONS VIOLATION | ROBBERY | MOTOR VEHICLE THEFT | ASSAULT | OTHER OFFENSE | DECEPTIVE PRACTICE | CRIMINAL DAMAGE | CRIMINAL TRESPASS | BURGLARY | STALKING | CRIM SEXUAL ASSAULT | NARCOTICS | SEX OFFENSE | OBSCENITY | OFFENSE INVOLVING CHILDREN | KIDNAPPING | HOMICIDE,False,,False
chicago,Chicago,Description,object,1.0,DOMESTIC BATTERY SIMPLE | RECKLESS CONDUCT | SIMPLE | $500 AND UNDER | AGGRAVATED: HANDGUN | UNLAWFUL POSS OF HANDGUN | FROM BUILDING | OVER $500 | ARMED: OTHER DANGEROUS WEAPON | AUTOMOBILE | OTHER VEHICLE OFFENSE | FRAUD OR CONFIDENCE GAME | FINANCIAL IDENTITY THEFT OVER $ 300 | CRIMINAL DEFACEMENT | TO PROPERTY | HARASSMENT BY TELEPHONE | RECKLESS FIREARM DISCHARGE | TELEPHONE THREAT | ILLEGAL USE CASH CARD | TO VEHICLE,False,,False
chicago,Chicago,Location Description,object,0.999368,"APARTMENT | RESIDENCE | STREET | SIDEWALK | CHA HALLWAY/STAIRWELL/ELEVATOR | RESIDENCE PORCH/HALLWAY | VEHICLE NON-COMMERCIAL | OTHER | RESIDENCE-GARAGE | VEHICLE-COMMERCIAL | PARKING LOT/GARAGE(NON.RESID.) | SCHOOL, PUBLIC, GROUNDS | CHA PARKING LOT/GROUNDS | MEDICAL/DENTAL OFFICE | RESTAURANT | SMALL RETAIL STORE | CTA TRAIN | SCHOOL, PUBLIC, BUILDING | HOSPITAL BUILDING/GROUNDS | DRUG STORE",False,,False
chicago,Chicago,Arrest,bool,1.0,True | False,False,,False
