dataset_key,city,original_column_name,inferred_dtype,non_null_ratio_est,sample_values,has_metadata_description,metadata_description,flag_ambiguous_or_abbrev,normalized_column_name,normalization_steps,normalized_is_empty,normalized_is_duplicate
sf,San Francisco,PdId,int64,1.0,11087941463010 | 5117770316010 | 5011209707055 | 11044468164020 | 3038311107024 | 6018621406243 | 9606640606374 | 10037601606304 | 5118607706244 | 12038512205053 | 6059198606243 | 10605739306244 | 4132248563010 | 12608680506372 | 10093226065015 | 9611696028160 | 12039046605011 | 6130265506241 | 10028879030000 | 9096610513060,True,Unique Identifier for use in update and insert operations,False,pdid,lowercase,False,False
sf,San Francisco,IncidntNum,int64,1.0,110879414 | 51177703 | 50112097 | 110444681 | 30383111 | 60186214 | 96066406 | 100376016 | 51186077 | 120385122 | 60591986 | 106057393 | 41322485 | 126086805 | 100932260 | 96116960 | 120390466 | 61302655 | 100288790 | 90966105,False,,False,incidntnum,lowercase,False,False
sf,San Francisco,Incident Code,int64,1.0,63010 | 16010 | 7055 | 64020 | 7024 | 6243 | 6374 | 6304 | 6244 | 5053 | 6372 | 65015 | 28160 | 5011 | 6241 | 30000 | 13060 | 6313 | 27300 | 64070,False,,False,incident_code,lowercase | replace_special_chars,False,False
sf,San Francisco,Category,object,1.0,"WARRANTS | DRUG/NARCOTIC | VEHICLE THEFT | NON-CRIMINAL | LARCENY/THEFT | BURGLARY | OTHER OFFENSES | VANDALISM | PROSTITUTION | SUSPICIOUS OCC | DRUNKENNESS | ARSON | EMBEZZLEMENT | FRAUD | ASSAULT | MISSING PERSON | ROBBERY | FORGERY/COUNTERFEITING | SECONDARY CODES | SEX OFFENSES, FORCIBLE",False,,False,category,lowercase,False,False
sf,San Francisco,Descript,object,1.0,"WARRANT ARREST | POSSESSION OF MARIJUANA | RECOVERED VEHICLE - STOLEN OUTSIDE SF | AIDED CASE, MENTAL DISTURBED | STOLEN TRAILER | PETTY THEFT FROM LOCKED AUTO | GRAND THEFT OF PROPERTY | GRAND THEFT FROM A BUILDING | GRAND THEFT FROM LOCKED AUTO | BURGLARY OF STORE, UNLAWFUL ENTRY | PETTY THEFT OF PROPERTY | TRAFFIC VIOLATION | MALICIOUS MISCHIEF, VANDALISM OF VEHICLES | BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY | PERMIT VIOLATION, POLICE (GENERAL) | SOLICITS FOR ACT OF PROSTITUTION | PETTY THEFT BICYCLE | MISCELLANEOUS STATE MISDEMEANOR | SUSPICIOUS OCCURRENCE | BURGLARY OF FLAT, FORCIBLE ENTRY",False,,False,descript,lowercase,False,False
sf,San Francisco,DayOfWeek,object,1.0,Friday | Tuesday | Saturday | Thursday | Sunday | Monday | Wednesday,False,,False,dayofweek,lowercase,False,False
sf,San Francisco,Date,object,1.0,2011-07-01T00:00:00.000 | 2005-10-18T00:00:00.000 | 2005-01-29T00:00:00.000 | 2011-06-02T00:00:00.000 | 2003-02-01T00:00:00.000 | 2006-02-12T00:00:00.000 | 2009-08-06T00:00:00.000 | 2010-04-23T00:00:00.000 | 2005-10-20T00:00:00.000 | 2012-05-03T00:00:00.000 | 2006-06-04T00:00:00.000 | 2010-05-15T00:00:00.000 | 2004-11-19T00:00:00.000 | 2012-06-25T00:00:00.000 | 2010-10-07T00:00:00.000 | 2009-11-16T00:00:00.000 | 2012-05-16T00:00:00.000 | 2006-12-07T00:00:00.000 | 2010-03-27T00:00:00.000 | 2009-09-18T00:00:00.000,False,,False,date,lowercase,False,False
sf,San Francisco,Time,object,1.0,08:00 | 14:30 | 13:45 | 02:52 | 17:00 | 22:00 | 16:30 | 11:00 | 10:00 | 06:15 | 14:40 | 16:45 | 11:05 | 16:00 | 06:30 | 19:30 | 19:25 | 23:47 | 13:20 | 15:30,False,,False,time,lowercase,False,False
sf,San Francisco,PdDistrict,object,1.0,NORTHERN | TENDERLOIN | BAYVIEW | CENTRAL | RICHMOND | MISSION | SOUTHERN | TARAVAL | PARK | INGLESIDE,True,Historical PD District Effective Through 7-18-2015,False,pddistrict,lowercase,False,False
sf,San Francisco,Resolution,object,1.0,"ARREST, BOOKED | NONE | PSYCHOPATHIC CASE | ARREST, CITED | COMPLAINANT REFUSES TO PROSECUTE | LOCATED | UNFOUNDED | DISTRICT ATTORNEY REFUSES TO PROSECUTE | PROSECUTED BY OUTSIDE AGENCY | NOT PROSECUTED | EXCEPTIONAL CLEARANCE | PROSECUTED FOR LESSER OFFENSE",False,,False,resolution,lowercase,False,False
