left_city,right_city,left_column_original,left_column_final,right_column_original,right_column_final
chicago,sf,Unnamed: 0,unnamed_0,PdId,police_department_incident_id
chicago,sf,Unnamed: 0,unnamed_0,IncidntNum,incidntnum
chicago,sf,Unnamed: 0,unnamed_0,Incident Code,incident_code
chicago,sf,Unnamed: 0,unnamed_0,Category,category
chicago,sf,Unnamed: 0,unnamed_0,Descript,descript
chicago,sf,Unnamed: 0,unnamed_0,DayOfWeek,dayofweek
chicago,sf,Unnamed: 0,unnamed_0,Date,date
chicago,sf,Unnamed: 0,unnamed_0,Time,time
chicago,sf,Unnamed: 0,unnamed_0,PdDistrict,pddistrict
chicago,sf,Unnamed: 0,unnamed_0,Resolution,resolution
chicago,sf,Unnamed: 0,unnamed_0,Address,address
chicago,sf,Unnamed: 0,unnamed_0,X,x
chicago,sf,Unnamed: 0,unnamed_0,Y,y
chicago,sf,Unnamed: 0,unnamed_0,location,location
chicago,sf,Unnamed: 0,unnamed_0,SF Find Neighborhoods 2 2,sf_find_neighborhoods_2_2
chicago,sf,Unnamed: 0,unnamed_0,Current Police Districts 2 2,current_police_districts_2_2
chicago,sf,Unnamed: 0,unnamed_0,Current Supervisor Districts 2 2,current_supervisor_districts_2_2
chicago,sf,Unnamed: 0,unnamed_0,Analysis Neighborhoods 2 2,analysis_neighborhoods_2_2
chicago,sf,Unnamed: 0,unnamed_0,DELETE - Fire Prevention Districts 2 2,delete_fire_prevention_districts_2_2
chicago,sf,Unnamed: 0,unnamed_0,DELETE - Police Districts 2 2,delete_police_districts_2_2
chicago,sf,Unnamed: 0,unnamed_0,DELETE - Supervisor Districts 2 2,delete_supervisor_districts_2_2
chicago,sf,Unnamed: 0,unnamed_0,DELETE - Zip Codes 2 2,delete_zip_codes_2_2
chicago,sf,Unnamed: 0,unnamed_0,DELETE - Neighborhoods 2 2,delete_neighborhoods_2_2
chicago,sf,Unnamed: 0,unnamed_0,DELETE - 2017 Fix It Zones 2 2,delete_2017_fix_it_zones_2_2
chicago,sf,Unnamed: 0,unnamed_0,Civic Center Harm Reduction Project Boundary 2 2,civic_center_harm_reduction_project_boundary_2_2
chicago,sf,Unnamed: 0,unnamed_0,Fix It Zones as of 2017-11-06  2 2,fix_it_zones_as_of_2017_11_06_2_2
chicago,sf,Unnamed: 0,unnamed_0,DELETE - HSOC Zones 2 2,delete_hsoc_zones_2_2
chicago,sf,Unnamed: 0,unnamed_0,Fix It Zones as of 2018-02-07 2 2,fix_it_zones_as_of_2018_02_07_2_2
chicago,sf,Unnamed: 0,unnamed_0,"CBD, BID and GBD Boundaries as of 2017 2 2",cbd_bid_and_gbd_boundaries_as_of_2017_2_2
chicago,sf,Unnamed: 0,unnamed_0,"Areas of Vulnerability, 2016 2 2",areas_of_vulnerability_2016_2_2
chicago,sf,Unnamed: 0,unnamed_0,Central Market/Tenderloin Boundary 2 2,central_market_tenderloin_boundary_2_2
chicago,sf,Unnamed: 0,unnamed_0,Central Market/Tenderloin Boundary Polygon - Updated 2 2,central_market_tenderloin_boundary_polygon_updated_2_2
chicago,sf,Unnamed: 0,unnamed_0,HSOC Zones as of 2018-06-05 2 2,hsoc_zones_as_of_2018_06_05_2_2
chicago,sf,Unnamed: 0,unnamed_0,OWED Public Spaces 2 2,owed_public_spaces_2_2
chicago,sf,Unnamed: 0,unnamed_0,Neighborhoods 2,neighborhoods_2
chicago,sf,ID,id,PdId,police_department_incident_id
chicago,sf,ID,id,IncidntNum,incidntnum
chicago,sf,ID,id,Incident Code,incident_code
chicago,sf,ID,id,Category,category
chicago,sf,ID,id,Descript,descript
chicago,sf,ID,id,DayOfWeek,dayofweek
chicago,sf,ID,id,Date,date
chicago,sf,ID,id,Time,time
chicago,sf,ID,id,PdDistrict,pddistrict
chicago,sf,ID,id,Resolution,resolution
chicago,sf,ID,id,Address,address
chicago,sf,ID,id,X,x
chicago,sf,ID,id,Y,y
chicago,sf,ID,id,location,location
chicago,sf,ID,id,SF Find Neighborhoods 2 2,sf_find_neighborhoods_2_2
chicago,sf,ID,id,Current Police Districts 2 2,current_police_districts_2_2
chicago,sf,ID,id,Current Supervisor Districts 2 2,current_supervisor_districts_2_2
chicago,sf,ID,id,Analysis Neighborhoods 2 2,analysis_neighborhoods_2_2
chicago,sf,ID,id,DELETE - Fire Prevention Districts 2 2,delete_fire_prevention_districts_2_2
chicago,sf,ID,id,DELETE - Police Districts 2 2,delete_police_districts_2_2
chicago,sf,ID,id,DELETE - Supervisor Districts 2 2,delete_supervisor_districts_2_2
chicago,sf,ID,id,DELETE - Zip Codes 2 2,delete_zip_codes_2_2
chicago,sf,ID,id,DELETE - Neighborhoods 2 2,delete_neighborhoods_2_2
chicago,sf,ID,id,DELETE - 2017 Fix It Zones 2 2,delete_2017_fix_it_zones_2_2
chicago,sf,ID,id,Civic Center Harm Reduction Project Boundary 2 2,civic_center_harm_reduction_project_boundary_2_2
chicago,sf,ID,id,Fix It Zones as of 2017-11-06  2 2,fix_it_zones_as_of_2017_11_06_2_2
chicago,sf,ID,id,DELETE - HSOC Zones 2 2,delete_hsoc_zones_2_2
