left_city,right_city,left_column_original,left_column_final,right_column_original,right_column_final,left_header_only,right_header_only,left_header_with_context,right_header_with_context
chicago,sf,Unnamed: 0,unnamed_0,PdId,police_department_incident_id,unnamed_0,police_department_incident_id,unnamed_0,police_department_incident_id | Unique Identifier for use in update and insert operations
chicago,sf,Unnamed: 0,unnamed_0,IncidntNum,incidntnum,unnamed_0,incidntnum,unnamed_0,incidntnum
chicago,sf,Unnamed: 0,unnamed_0,Incident Code,incident_code,unnamed_0,incident_code,unnamed_0,incident_code
chicago,sf,Unnamed: 0,unnamed_0,Category,category,unnamed_0,category,unnamed_0,category
chicago,sf,Unnamed: 0,unnamed_0,Descript,descript,unnamed_0,descript,unnamed_0,descript
chicago,sf,Unnamed: 0,unnamed_0,DayOfWeek,dayofweek,unnamed_0,dayofweek,unnamed_0,dayofweek
chicago,sf,Unnamed: 0,unnamed_0,Date,date,unnamed_0,date,unnamed_0,date
chicago,sf,Unnamed: 0,unnamed_0,Time,time,unnamed_0,time,unnamed_0,time
chicago,sf,Unnamed: 0,unnamed_0,PdDistrict,pddistrict,unnamed_0,pddistrict,unnamed_0,pddistrict | Historical PD District Effective Through 7-18-2015
chicago,sf,Unnamed: 0,unnamed_0,Resolution,resolution,unnamed_0,resolution,unnamed_0,resolution
chicago,sf,Unnamed: 0,unnamed_0,Address,address,unnamed_0,address,unnamed_0,address
chicago,sf,Unnamed: 0,unnamed_0,X,x,unnamed_0,x,unnamed_0,x
chicago,sf,Unnamed: 0,unnamed_0,Y,y,unnamed_0,y,unnamed_0,y
chicago,sf,Unnamed: 0,unnamed_0,location,location,unnamed_0,location,unnamed_0,location
chicago,sf,Unnamed: 0,unnamed_0,SF Find Neighborhoods 2 2,sf_find_neighborhoods_2_2,unnamed_0,sf_find_neighborhoods_2_2,unnamed_0,sf_find_neighborhoods_2_2
chicago,sf,Unnamed: 0,unnamed_0,Current Police Districts 2 2,current_police_districts_2_2,unnamed_0,current_police_districts_2_2,unnamed_0,current_police_districts_2_2
chicago,sf,Unnamed: 0,unnamed_0,Current Supervisor Districts 2 2,current_supervisor_districts_2_2,unnamed_0,current_supervisor_districts_2_2,unnamed_0,current_supervisor_districts_2_2
chicago,sf,Unnamed: 0,unnamed_0,Analysis Neighborhoods 2 2,analysis_neighborhoods_2_2,unnamed_0,analysis_neighborhoods_2_2,unnamed_0,analysis_neighborhoods_2_2
