method,score_column,threshold,precision,recall,f1,tp,fp,fn
Lexical (Jaccard),lexical_jaccard,0.1,0.0,0.0,0.0,0,46,0
Embedding (Header-only),embedding_header_only_cosine,0.1,0.0,0.0,0.0,0,5,0
Embedding (Header+Context),embedding_header_context_cosine,0.1,0.0,0.0,0.0,0,11,0
Lexical (Jaccard),lexical_jaccard,0.2,0.0,0.0,0.0,0,41,0
Embedding (Header-only),embedding_header_only_cosine,0.2,0.0,0.0,0.0,0,5,0
Embedding (Header+Context),embedding_header_context_cosine,0.2,0.0,0.0,0.0,0,10,0
Lexical (Jaccard),lexical_jaccard,0.3,0.0,0.0,0.0,0,30,0
Embedding (Header-only),embedding_header_only_cosine,0.3,0.0,0.0,0.0,0,5,0
Embedding (Header+Context),embedding_header_context_cosine,0.3,0.0,0.0,0.0,0,5,0
Lexical (Jaccard),lexical_jaccard,0.4,0.0,0.0,0.0,0,17,0
Embedding (Header-only),embedding_header_only_cosine,0.4,0.0,0.0,0.0,0,5,0
Embedding (Header+Context),embedding_header_context_cosine,0.4,0.0,0.0,0.0,0,5,0
Lexical (Jaccard),lexical_jaccard,0.5,0.0,0.0,0.0,0,16,0
Embedding (Header-only),embedding_header_only_cosine,0.5,0.0,0.0,0.0,0,5,0
Embedding (Header+Context),embedding_header_context_cosine,0.5,0.0,0.0,0.0,0,4,0
Lexical (Jaccard),lexical_jaccard,0.6,0.0,0.0,0.0,0,5,0
Embedding (Header-only),embedding_header_only_cosine,0.6,0.0,0.0,0.0,0,5,0
Embedding (Header+Context),embedding_header_context_cosine,0.6,0.0,0.0,0.0,0,4,0
Lexical (Jaccard),lexical_jaccard,0.7,0.0,0.0,0.0,0,5,0
Embedding (Header-only),embedding_header_only_cosine,0.7,0.0,0.0,0.0,0,5,0
Embedding (Header+Context),embedding_header_context_cosine,0.7,0.0,0.0,0.0,0,4,0
Lexical (Jaccard),lexical_jaccard,0.8,0.0,0.0,0.0,0,5,0
Embedding (Header-only),embedding_header_only_cosine,0.8,0.0,0.0,0.0,0,5,0
Embedding (Header+Context),embedding_header_context_cosine,0.8,0.0,0.0,0.0,0,4,0
Lexical (Jaccard),lexical_jaccard,0.9,0.0,0.0,0.0,0,5,0
Embedding (Header-only),embedding_header_only_cosine,0.9,0.0,0.0,0.0,0,5,0
Embedding (Header+Context),embedding_header_context_cosine,0.9,0.0,0.0,0.0,0,4,0
